position,time,race_num,country,gender,catagory
154,07:10:07,27638,RSA,M,SEN
155,07:10:31,21173,RSA,M,SEN
156,07:10:39,45023,RSA,M,SEN
157,07:10:41,38000,RSA,M,VET
158,07:10:48,29954,RSA,M,SEN
159,07:10:51,19570,RSA,M,SEN
160,07:10:59,56124,RSA,M,SEN
161,07:11:02,42119,RSA,M,SEN
162,07:11:04,33791,RSA,M,SEN
163,07:11:07,38127,RSA,M,VET
164,07:11:13,51542,RSA,M,SEN
165,07:11:21,36389,RSA,M,SEN
166,07:11:25,27823,RSA,M,SEN
167,07:11:26,50697,RSA,M,SEN
168,07:11:49,58229,RSA,M,SEN
169,07:11:50,49078,RSA,M,VET
170,07:11:56,28492,RSA,M,SEN
171,07:12:16,16045,RSA,M,VET
172,07:12:22,19807,RSA,M,SEN
173,07:12:25,31878,RSA,M,SEN
174,07:12:39,26177,RSA,M,VET
175,07:12:50,43195,RSA,M,SEN
176,07:12:51,51741,RSA,M,SEN
177,07:13:00,13893,RSA,M,SEN
178,07:13:05,55801,RSA,M,SEN
179,07:13:19,10685,RSA,M,SEN
180,07:13:20,45346,RSA,M,SEN
181,07:13:30,16440,RSA,M,SEN
182,07:13:47,34018,RSA,M,VET
183,07:13:58,48662,RSA,M,SEN
184,07:14:16,41511,RSA,M,SEN
185,07:14:26,51032,RSA,M,SEN
186,07:14:28,49624,RSA,M,VET
187,07:14:36,37892,RSA,M,SEN
188,07:14:42,55938,RSA,M,SEN
189,07:14:53,53578,RSA,M,SEN
190,07:15:07,19671,RSA,M,SEN
191,07:15:07,23793,RSA,M,VET
192,07:15:07,34175,RSA,F,SEN
193,07:15:51,42390,RSA,M,SEN
194,07:16:06,51317,RSA,M,VET
195,07:16:24,37920,RSA,M,SEN
196,07:16:26,39981,RSA,M,SEN
197,07:16:33,10546,RSA,M,SEN
198,07:16:40,52950,RSA,M,SEN
199,07:16:41,28274,RSA,M,SEN
200,07:16:53,57261,RSA,M,SEN
201,07:16:59,43652,RSA,M,VET
202,07:17:01,56210,RSA,M,SEN
203,07:17:02,21332,RSA,M,VET
204,07:17:04,48874,RSA,M,SEN
205,07:17:13,16141,RSA,M,VET
